Service Level 1,Service Level 2,unresolved_count,avg_age_days
"Roads, traffic and sidewalks",Traffic and road safety,55,1213.5272727272727
"Roads, traffic and sidewalks",Sidewalks and walkways,13,1139.7692307692307
"Roads, traffic and sidewalks",Road signs,6,1304.3333333333333
"Roads, traffic and sidewalks",Roads,4,985.0
"Roads, traffic and sidewalks",Cycling,3,1023.3333333333334
"Roads, traffic and sidewalks",Customer comments,1,1191.0
"Engineering, infrastructure and construction",Construction project timeline,2,1447.0
"Engineering, infrastructure and construction",Debris on road from construction site,2,1467.0
"Engineering, infrastructure and construction",Blasting,1,1564.0
"Engineering, infrastructure and construction",Community mailbox installation,1,786.0
"Engineering, infrastructure and construction",Construction equipment blocking access,1,1481.0
"Engineering, infrastructure and construction",Construction equipment left behind,1,1562.0
"Engineering, infrastructure and construction",Construction safety concern,1,1548.0
"Engineering, infrastructure and construction",Customer comments,1,1408.0
"Engineering, infrastructure and construction",Permits and regulations,1,1639.0
Trees,Tree assessment,3,1349.3333333333333
Trees,Tree removal,1,1619.0
Parks,Park features,2,1162.0
Arts and culture,Arts programs,1,897.0
Building,Building permits,1,1033.0
